item_id,order_id,product_id,quantity,unit_price,discount_percent
1,691,187,9,5339.07,7
2,634,21,7,2256.87,11
3,575,364,9,4664.1,8
4,117,333,6,2923.11,48
5,215,386,10,4495.6,14
6,274,258,6,4113.34,17
7,354,232,1,2968.74,33
8,545,348,2,4969.74,18
9,690,485,8,4190.02,4
10,469,45,4,573.01,11
11,79,56,5,1072.12,7
12,210,267,3,5717.42,1
13,699,278,5,5597.16,30
14,661,11,6,1819.95,4
15,238,428,1,5689.95,41
16,352,336,6,3911.7,20
17,543,432,8,3335.97,29
18,314,88,5,4756.68,14
19,296,395,8,5088.53,9
20,171,317,6,5552.38,45
21,180,430,9,4277.86,42
22,120,22,3,5963.26,36
23,379,95,3,1310.42,45
24,353,76,1,2300.2,34
25,125,472,3,247.06,31
26,328,80,3,125.34,47
27,340,332,9,4262.16,30
28,588,342,5,967.79,36
29,116,375,8,2925.99,2
30,120,158,3,246.29,39
31,95,168,4,424.7,41
32,228,401,4,5620.42,17
33,552,435,-4,2728.2,42
34,404,100,2,2993.75,38
35,58,466,10,4033.92,25
36,438,190,3,2378.06,0
37,316,229,5,5258.38,5
38,455,380,4,5956.32,28
39,435,374,5,5388.93,8
40,148,107,10,1889.06,33
41,605,388,6,2317.06,0
42,280,213,7,1131.87,29
43,141,103,10,1197.44,24
44,44,422,5,4974.87,37
45,475,115,5,258.36,0
46,656,428,3,3855.71,7
47,504,465,5,4158.27,15
48,284,253,1,5966.56,4
49,596,247,10,3436.89,16
50,123,192,8,3123.9,36
51,167,298,1,445.21,20
52,139,183,8,1063.52,17
53,365,25,6,1810.15,33
54,644,94,2,4611.67,38
55,324,424,3,5085.47,19
56,372,50,5,3253.08,22
57,531,145,-3,2300.78,31
58,167,53,7,1385.47,32
59,573,315,4,4168.95,33
60,117,214,9,2816.9,4
61,18,246,2,2154.44,44
62,453,456,6,5926.73,33
63,312,15,6,4492.32,7
64,146,353,4,1436.79,8
65,81,218,4,4175.83,50
66,496,388,2,2644.36,12
67,676,263,2,3599.74,30
68,45,34,2,1879.71,0
69,617,106,2,3566.86,12
70,30,47,3,958.79,47
71,357,181,5,1047.29,32
72,584,35,10,684.72,37
73,197,494,1,1762.96,48
74,102,474,-9,1362.69,32
75,604,95,8,2694.03,6
76,389,218,3,1364.22,14
77,322,64,7,2848.82,33
78,370,361,3,1800.8,46
79,506,60,1,2370.21,29
80,455,116,10,3368.1,18
81,72,459,7,5062.24,30
82,691,252,6,4065.36,25
83,693,44,8,803.39,25
84,105,380,7,5559.21,10
85,204,174,2,1281.55,25
86,435,372,2,3044.75,48
87,660,483,10,2461.39,30
88,497,262,10,1745.45,49
89,257,251,8,3033.92,40
90,55,426,-3,502.55,43
91,392,310,1,4107.31,9
92,99,390,5,551.45,48
93,478,104,9,1832.02,31
94,556,176,8,4875.94,34
95,33,221,-9,5292.74,7
96,386,227,7,2811.97,2
97,311,453,3,4265.75,31
98,399,250,7,4607.67,36
99,553,293,8,2871.93,35
100,401,135,3,3018.68,24
101,292,165,10,462.4,37
102,376,179,1,4876.37,37
103,641,175,1,2345.38,27
104,422,180,6,433.05,15
105,320,304,4,601.16,44
106,118,173,2,1101.7,34
107,674,443,6,2592.59,32
