order_id,customer_id,order_date,status,region_code
1,408.0,25-10-2024,CANCELLED,NORTH
2,120.0,2026-02-11 04:15:55,PLACED,EAST
3,1.0,2025-05-10 20:23:35,DELIVERED,NORTH
4,106.0,2026-03-22 00:38:27,CANCELLED,NORTH
5,498.0,2026-03-22 13:57:15,PLACED,NORTH
6,472.0,2026-05-01 22:59:03,CANCELLED,EAST
7,235.0,2025-09-08 00:48:18,PLACED,SOUTH
8,327.0,2025-02-25 06:33:38,RETURNED,NORTH
9,223.0,2025-11-15 15:13:53,DELIVERED,EAST
10,436.0,2024-10-31 01:31:34,DELIVERED,EAST
11,232.0,2025-02-27 15:56:22,SHIPPED,SOUTH
12,400.0,2025-12-19 05:20:47,PLACED,SOUTH
13,231.0,2026-05-31 02:14:02,RETURNED,EAST
14,494.0,2026-06-21 05:06:26,CANCELLED,EAST
15,437.0,2026-03-20 15:57:24,DELIVERED,NORTH
16,111.0,2026-05-15 16:24:20,PLACED,SOUTH
17,496.0,2026-01-28 15:21:32,DELIVERED,EAST
18,420.0,26-11-2025,CANCELLED,WEST
19,285.0,2025-04-26 23:25:13,CANCELLED,NORTH
20,412.0,2024-07-19 19:37:06,PLACED,SOUTH
21,67.0,2025-09-14 02:12:08,PLACED,EAST
22,470.0,21-05-2026,PLACED,SOUTH
23,463.0,2025-09-15 07:00:49,PLACED,EAST
24,,2024-10-28 23:09:48,SHIPPED,WEST
25,421.0,2024-10-14 21:02:00,CANCELLED,WEST
26,89.0,2024-08-12 14:28:17,DELIVERED,EAST
27,229.0,15-07-2024,RETURNED,SOUTH
28,332.0,2025-09-29 00:00:43,RETURNED,WEST
29,32.0,2025-10-17 14:13:00,CANCELLED,SOUTH
30,330.0,2025-05-13 05:58:44,RETURNED,NORTH
31,196.0,2025-09-01 09:00:12,RETURNED,WEST
32,177.0,2025-09-09 10:22:39,CANCELLED,EAST
33,,2024-09-15 06:38:35,PLACED,EAST
